"","x"
"842",16.96
"843",12.28
"844",6.73
"845",15.88
"846",15.28
"847",10.31
"848",12.71
"849",13.32
"850",14.01
"851",7.29
"852",26.94
"853",9.76
"854",8.27
"855",25.03
"856",4.23
"857",26.15
"858",10.91
"859",18.89
"860",1.03
"861",14.6
"862",20.95
"863",7.69
"864",13.96
"865",10.36
"866",10.9
"867",4.78
"868",22.46
"869",12.66
"870",21.4
"871",8.23
"872",15.82
"873",33.64
"874",13.95
"875",7.69
"876",8.83
"877",23.83
"878",10.87
"879",2.29
"880",22.33
"881",6.32
"882",31.3
"883",9.69
"884",9.56
"885",7.44
"886",16.84
"887",19.99
"888",15.87
"889",11.88
"890",5.68
"891",16.94
"892",11.65
"893",19.43
"894",22.65
"895",6.63
"896",6.96
"897",18.77
"898",13.63
"899",19.02
"900",8.54
"901",15.74
"902",7.44
"903",17.12
"904",15.67
"905",15.01
"906",21.48
"907",9.49
"908",17.27
"909",24.07
"910",11.6
"911",8.99
"912",14.7
"913",14.72
"914",4.29
"915",11.27
"916",3.38
"917",15.04
"918",15.4
"919",18.96
"920",30.58
"921",2.13
"922",12.3
"923",8.42
"924",27.45
"925",11.31
"926",34.03
"927",24
"928",7.52
"929",19.73
"930",8.97
"931",6.67
"932",3.01
"933",15.98
"934",20.25
"935",5.13
"936",41.87
"937",18.99
"938",21.33
"939",15.34
"940",12.89
"941",11.38
"942",7.11
"943",4.58
"944",26.57
"945",11.67
"946",16.6
"947",15.08
"948",17.51
"949",14.94
"950",16.83
"951",7.71
"952",14.66
"953",30.14
"954",16.46
"955",10.56
"956",5.72
"957",2.56
"958",23.03
"959",7.47
"960",2.95
"961",15.81
"962",5.43
"963",20.06
"964",17.09
"965",9.14
"966",9.95
"967",9.58
"968",4.93
"969",18.34
"970",19.89
"971",8.96
"972",8.22
"973",33.09
"974",6.82
"975",17.65
"976",3.23
"977",16.56
"978",15.72
"979",8.76
"980",29.97
"981",10.68
"982",14.26
"983",2.18
"984",10.27
"985",5.1
"986",2.1
"987",14.83
"988",30.88
"989",33.43
"990",25.76
"991",8.85
"992",15.02
"993",5.37
"994",12.41
"995",9.45
"996",13.08
"997",7.54
"998",24.42
"999",7.38
"1000",17.92
